loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-05,17.17066704899486
county,wk ahead inc case,2020-07-12,15.490349622504208
county,wk ahead inc case,2020-07-19,16.330205325021602
county,wk ahead inc case,2020-07-26,16.148955773297857
county,wk ahead inc case,2020-08-03,17.080676169156774
county,wk ahead inc case,2020-08-09,15.053319703688544
county,wk ahead inc case,2020-08-16,15.611666792309093
county,wk ahead inc case,2020-08-23,13.680356124073317
county,wk ahead inc case,2020-08-30,13.726409876574795
county,wk ahead inc case,2020-09-06,13.406285739869015
county,wk ahead inc case,2020-09-13,13.901627768681493
county,wk ahead inc case,2020-09-20,14.73931098973257
county,wk ahead inc case,2020-09-27,17.294039829785785
county,wk ahead inc case,2020-10-04,20.943918240892344
county,wk ahead inc case,2020-10-11,30.955795306885886
county,wk ahead inc case,2020-10-18,43.717701999476965
county,wk ahead inc case,2020-10-25,58.43783476656661
county,wk ahead inc case,2020-11-01,65.11212579507209
county,wk ahead inc case,2020-11-09,60.23454220306317
county,wk ahead inc case,2020-11-16,55.176367383283306
county,wk ahead inc case,2020-11-23,57.19973791075408
county,wk ahead inc case,2020-11-30,61.454684399304135
county,wk ahead inc case,2020-12-07,51.69460419082867
county,wk ahead inc case,2020-12-14,43.43987484195206
county,wk ahead inc case,2020-12-21,36.23183106580025
county,wk ahead inc case,2020-12-28,39.45196905216719
county,wk ahead inc case,2021-01-04,37.00350722984036
county,wk ahead inc case,2021-01-11,52.152466205030244
county,wk ahead inc case,2021-01-18,61.301423466139084
county,wk ahead inc case,2021-01-25,43.132994581172966
county,wk ahead inc case,2021-02-01,38.26372548409287
county,wk ahead inc case,2021-02-08,32.1530695166462
county,wk ahead inc case,2021-02-15,24.60630967787784
county,wk ahead inc case,2021-02-22,18.959163882066676
county,wk ahead inc case,2021-03-01,18.495071274787374
county,wk ahead inc case,2021-03-08,18.69312368047028
county,wk ahead inc case,2021-03-15,16.44637981847228
county,wk ahead inc case,2021-03-22,17.06327019744622
county,wk ahead inc case,2021-03-29,14.738385162823487
county,wk ahead inc case,2021-04-05,14.037985355211127
county,wk ahead inc case,2021-04-12,14.683336651459024
county,wk ahead inc case,2021-04-19,18.302335010908596
county,wk ahead inc case,2021-04-26,16.125606384652972
county,wk ahead inc case,2021-05-03,15.650107860154083
county,wk ahead inc case,2021-05-10,13.973060453502114
county,wk ahead inc case,2021-05-17,11.700902661526749
county,wk ahead inc case,2021-05-24,9.607283574894323
county,wk ahead inc case,2021-05-31,7.887072346995591
county,wk ahead inc case,2021-06-07,5.416755485735497
county,wk ahead inc case,2021-06-14,4.507214988523249
county,wk ahead inc case,2021-06-21,3.8487223160310897
national,wk ahead cum death,2020-07-05,1670.3294190217393
national,wk ahead cum death,2020-07-12,950.0982224999997
national,wk ahead cum death,2020-07-19,1478.7700609239125
national,wk ahead cum death,2020-07-26,1008.2409346739128
national,wk ahead cum death,2020-08-03,380.05121532608683
national,wk ahead cum death,2020-08-09,406.48921722826105
national,wk ahead cum death,2020-08-16,533.7379757608694
national,wk ahead cum death,2020-08-23,683.0068660869558
national,wk ahead cum death,2020-08-30,805.2041810869575
national,wk ahead cum death,2020-09-06,442.0777162500006
national,wk ahead cum death,2020-09-13,171.70178135869557
national,wk ahead cum death,2020-09-20,328.00127048913043
national,wk ahead cum death,2020-09-27,164.24295146739126
national,wk ahead cum death,2020-10-04,468.53318711956535
national,wk ahead cum death,2020-10-11,664.6367941847825
national,wk ahead cum death,2020-10-18,1837.0754399999998
national,wk ahead cum death,2020-10-25,2065.978392934783
national,wk ahead cum death,2020-11-01,3793.631473532609
national,wk ahead cum death,2020-11-09,4980.792482173914
national,wk ahead cum death,2020-11-16,6354.734622934781
national,wk ahead cum death,2020-11-23,4687.081025054349
national,wk ahead cum death,2020-11-30,8181.079988641307
national,wk ahead cum death,2020-12-07,3149.6932415760884
national,wk ahead cum death,2020-12-14,2722.0885175543476
national,wk ahead cum death,2020-12-21,1957.8784696739137
national,wk ahead cum death,2020-12-28,6419.268305217393
national,wk ahead cum death,2021-01-04,6799.764466304349
national,wk ahead cum death,2021-01-11,2519.061439184783
national,wk ahead cum death,2021-01-18,1877.1678447826093
national,wk ahead cum death,2021-01-25,2401.6119259239126
national,wk ahead cum death,2021-02-01,2211.2266318478273
national,wk ahead cum death,2021-02-08,5011.361340760868
national,wk ahead cum death,2021-02-15,8489.794165543475
national,wk ahead cum death,2021-02-22,1221.6567319021726
national,wk ahead cum death,2021-03-01,2394.1161690760846
national,wk ahead cum death,2021-03-08,2595.268239402175
national,wk ahead cum death,2021-03-15,1516.2877639130413
national,wk ahead cum death,2021-03-22,628.9054752173911
national,wk ahead cum death,2021-03-29,437.4939507608688
national,wk ahead cum death,2021-04-05,486.9300534782591
national,wk ahead cum death,2021-04-12,713.1910150000018
national,wk ahead cum death,2021-04-19,416.8289728804344
national,wk ahead cum death,2021-04-26,409.12135788043264
national,wk ahead cum death,2021-05-03,403.7220983152161
national,wk ahead cum death,2021-05-10,456.24316076086853
national,wk ahead cum death,2021-05-17,367.5066673369547
national,wk ahead cum death,2021-05-24,560.9562204891301
national,wk ahead cum death,2021-05-31,1948.4742063586998
national,wk ahead cum death,2021-06-07,457.83533905797134
national,wk ahead cum death,2021-06-14,235.47633097826267
national,wk ahead cum death,2021-06-21,88.31755956522002
national,wk ahead inc case,2020-07-05,34088.04896517857
national,wk ahead inc case,2020-07-12,13000.133319642859
national,wk ahead inc case,2020-07-19,23574.847482142857
